City,Country,Weekend/Weekday,Price,Room_Type,Room_Shared,Room_Private,Person_Capacity,Superhost?,Multiple_Rooms?,Business?,cleanliness_rating,guest_satisfaction_overall,bedrooms,Distance from City Center,Nearest Metro (km),attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude
Barcelona,Spain,Weekend,416.5987851,Private room,FALSE,TRUE,5,TRUE,0,0,10,96,2,1.288906472,0.155559531,566.4921717,21.8729174,1228.536275,26.98681437,2.17738,41.37694
Barcelona,Spain,Weekend,156.1663602,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,1.427133399,0.164535999,359.2590695,13.87140784,869.5247023,19.10053631,2.1561,41.37969
Barcelona,Spain,Weekend,156.1663602,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,1.467998631,0.131163169,357.1640076,13.79051508,862.2116992,18.9398942,2.15595,41.37922
Barcelona,Spain,Weekend,134.2891056,Private room,FALSE,TRUE,2,FALSE,1,0,7,85,1,1.840697934,0.526932562,514.5409152,19.86701935,663.2332036,14.56900518,2.18117,41.40143
Barcelona,Spain,Weekend,173.6216166,Private room,FALSE,TRUE,2,FALSE,0,0,9,86,1,0.75370222,0.053179523,2064.852704,79.72634911,1882.476732,41.35168911,2.17354,41.38089
Barcelona,Spain,Weekend,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,0,9,94,1,1.856144624,0.881943214,448.1948494,17.30532108,771.4336553,16.94580557,2.163,41.403
Barcelona,Spain,Weekend,178.2763516,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,1.90092512,0.311765833,345.3397305,13.33396608,796.9028942,17.50527918,2.15171,41.37698
Barcelona,Spain,Weekend,195.4988712,Private room,FALSE,TRUE,2,TRUE,1,0,9,94,1,1.228685583,0.450253319,585.1681092,22.59401693,1418.287845,31.15501885,2.1817,41.38043
Barcelona,Spain,Weekend,146.8568902,Private room,FALSE,TRUE,2,TRUE,0,1,10,97,1,2.013791748,0.245458845,350.095974,13.51761014,888.7870401,19.52366516,2.15024,41.37678
Barcelona,Spain,Weekend,173.6216166,Private room,FALSE,TRUE,2,TRUE,0,0,10,94,1,2.264369916,0.774596364,295.5568499,11.41179153,585.3102799,12.85730034,2.19509,41.39484
Barcelona,Spain,Weekend,242.9771685,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,1.16997742,0.345536818,644.1059054,24.86967335,1590.756365,34.94357278,2.18245,41.38231
Barcelona,Spain,Weekend,219.7034934,Private room,FALSE,TRUE,2,TRUE,0,0,9,95,1,0.562833004,0.169871208,1211.032144,46.75935056,1815.283887,39.87568808,2.17165,41.38222
Barcelona,Spain,Weekend,509.2280122,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,87,1,1.196800891,0.455053909,395.1858725,15.25858322,1042.336703,22.89663535,2.15572,41.38773
Barcelona,Spain,Weekend,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,0,10,97,1,2.52410521,1.013420719,389.2936891,15.03107921,561.0377305,12.32411398,2.16429,41.40946
Barcelona,Spain,Weekend,161.984779,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,0.234330413,0.234107613,680.955661,26.292485,1463.900893,32.15698425,2.1728,41.38692
Barcelona,Spain,Weekend,381.9210091,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,0.976245674,0.222910253,774.6271395,29.90924903,1718.826104,37.75683466,2.17941,41.38192
Barcelona,Spain,Weekend,222.2635976,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,0.95349168,0.183154401,828.6578768,31.99543824,1613.68383,35.44721215,2.18089,41.38456
Barcelona,Spain,Weekend,215.2814951,Private room,FALSE,TRUE,2,FALSE,0,1,8,85,1,0.619960708,0.486778543,565.2203669,21.82381155,1321.92806,29.03831811,2.1672,41.38197
Barcelona,Spain,Weekend,182.9310866,Private room,FALSE,TRUE,2,FALSE,1,0,10,91,1,1.04017466,0.260467236,691.8661058,26.71374988,1386.040472,30.44665241,2.17304,41.37805
Barcelona,Spain,Weekend,248.5628506,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,1.200498127,0.196092675,637.7268934,24.62337233,1350.891008,29.67453677,2.17732,41.37783
Barcelona,Spain,Weekend,157.5627807,Private room,FALSE,TRUE,2,TRUE,0,0,10,95,1,2.545442546,0.872426846,379.5579125,14.65516963,586.1743281,12.87628058,2.15934,41.40861
Barcelona,Spain,Weekend,229.2457002,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,0.555282187,0.287728272,731.6085206,28.24825044,1342.241051,29.48452627,2.17651,41.38817
Barcelona,Spain,Weekend,208.2993926,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,1.228785667,0.228936279,613.9187361,23.70411186,1349.851121,29.65169396,2.17786,41.37778
Barcelona,Spain,Weekend,631.8802802,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,99,1,0.798886713,0.14631058,1056.057689,40.77560776,2006.124472,44.06781454,2.175,41.381
Barcelona,Spain,Weekend,179.4400354,Private room,FALSE,TRUE,2,FALSE,1,0,7,79,1,0.340728102,0.322823287,578.6821772,22.3435876,1486.112121,32.64489032,2.16768,41.38462
Barcelona,Spain,Weekend,462.9133987,Private room,FALSE,TRUE,4,FALSE,1,0,10,92,2,1.066661898,0.315282974,696.0439303,26.87506051,1940.985457,42.63692923,2.18002,41.38118
Barcelona,Spain,Weekend,190.8441362,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,1.414384655,0.179263629,359.4358763,13.87823456,876.9163138,19.26290518,2.156,41.38
Barcelona,Spain,Weekend,167.8031978,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,1.414392358,0.179258922,359.4348053,13.8781932,876.9173909,19.26292884,2.156,41.38
Barcelona,Spain,Weekend,705.8905672,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,98,1,0.876030042,0.334141679,765.2989345,29.54907626,1313.764477,28.85899163,2.163,41.393
Barcelona,Spain,Weekend,167.8031978,Private room,FALSE,TRUE,2,FALSE,1,0,10,88,1,1.414391859,0.179254298,359.4356206,13.87822468,876.91051,19.26277769,2.156,41.38
Barcelona,Spain,Weekend,219.7034934,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,0.217551963,0.206476907,576.407596,22.25576339,1483.112789,32.57900506,2.16778,41.38613
Barcelona,Spain,Weekend,286.9644146,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,2.261674357,0.314816959,292.8850783,11.30863134,685.3395801,15.054608,2.19705,41.38774
Barcelona,Spain,Weekend,389.8340587,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,1.762731597,0.624446047,349.0564362,13.47747238,944.3922996,20.74512589,2.151,41.394
Barcelona,Spain,Weekend,379.3609049,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,1.762754876,0.624454016,349.0524247,13.47731749,944.3821572,20.74490309,2.151,41.394
Barcelona,Spain,Weekend,167.8031978,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,0.497764632,0.170744829,527.9840995,20.38607623,1286.18159,28.25308826,2.16406,41.38704
Barcelona,Spain,Weekend,416.5987851,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,92,1,0.94503068,0.178222821,420.0414143,16.21828442,1062.712037,23.34421298,2.161,41.382
Barcelona,Spain,Weekend,240.8825378,Private room,FALSE,TRUE,2,FALSE,1,0,9,94,1,0.792725594,0.201341051,542.5224252,20.94741779,1083.916201,23.80999723,2.17819,41.39075
Barcelona,Spain,Weekend,115.6701655,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,2.090297964,0.127845591,901.6256167,34.812807,713.2637509,15.66800821,2.17517,41.40556
Barcelona,Spain,Weekend,171.2942491,Private room,FALSE,TRUE,2,FALSE,0,1,8,76,1,0.546375423,0.200264845,509.7315843,19.68132553,1266.082085,27.81156968,2.16501,41.38397
Barcelona,Spain,Weekend,121.4885843,Private room,FALSE,TRUE,2,FALSE,0,0,9,94,1,1.182974681,0.35241943,474.7860376,18.33203759,851.8976209,18.71332855,2.17969,41.39491
Barcelona,Spain,Weekend,175.9489841,Private room,FALSE,TRUE,3,FALSE,0,0,9,89,1,1.601382898,0.564394364,463.7293954,17.90512785,971.1426936,21.33274217,2.16072,41.39975
Barcelona,Spain,Weekend,161.984779,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,0.470116923,0.18383035,744.9677834,28.76406702,1304.874116,28.66370026,2.17534,41.38849
Barcelona,Spain,Weekend,173.6216166,Private room,FALSE,TRUE,2,FALSE,1,0,9,83,1,1.435393982,0.222118213,372.7504624,14.39232611,895.5016468,19.67116251,2.15988,41.3767
Barcelona,Spain,Weekend,183.8620337,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,1.524618457,0.146719717,372.2480307,14.37292664,900.595798,19.78306389,2.16203,41.37479
Barcelona,Spain,Weekend,219.7034934,Private room,FALSE,TRUE,2,FALSE,0,0,10,90,1,1.569249416,0.159674901,343.714715,13.27122235,835.6880183,18.35725805,2.15366,41.3802
Barcelona,Spain,Weekend,173.6216166,Private room,FALSE,TRUE,2,FALSE,0,0,9,93,1,1.218102325,0.360068257,466.3638721,18.00684804,922.0385844,20.25408987,2.18399,41.39023
Barcelona,Spain,Weekend,183.8620337,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,1.496955702,0.252043318,377.7609961,14.58578861,948.1881303,20.82850753,2.16329,41.37464
Barcelona,Spain,Weekend,190.8441362,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,1.355359561,0.340396651,372.2803911,14.37417612,904.9941673,19.87968129,2.15849,41.37855
Barcelona,Spain,Weekend,237.1587497,Private room,FALSE,TRUE,2,FALSE,1,0,9,82,1,0.234502567,0.229103788,685.0843787,26.45189956,1684.481991,37.00240989,2.17265,41.38642
Barcelona,Spain,Weekend,167.8031978,Private room,FALSE,TRUE,2,FALSE,1,0,8,86,1,2.186087925,0.390570556,590.0941209,22.78421593,626.4356801,13.76068722,2.17892,41.40565
Barcelona,Spain,Weekend,186.1894012,Private room,FALSE,TRUE,2,FALSE,1,0,8,84,1,0.488594002,0.35129108,708.560741,27.35834904,1578.366678,34.67141298,2.16955,41.38275
Barcelona,Spain,Weekend,318.1511392,Private room,FALSE,TRUE,2,TRUE,0,1,10,96,1,1.174797646,0.204402751,512.5857683,19.79152887,1202.547398,26.41592605,2.15845,41.39315
Barcelona,Spain,Weekend,309.7726162,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,1.092130433,0.431866314,664.8602337,25.67102195,1643.811816,36.10902277,2.179,41.38
Barcelona,Spain,Weekend,196.662555,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,2.220382807,0.359783171,597.6704646,23.07674732,627.2557379,13.77870113,2.17821,41.40616
